area_name,year,month,total_crimes,violent_crimes,crimes_with_weapon,cases_closed
Newton,2020,4,33,13,16,6
Newton,2020,5,35,16,19,4
Newton,2020,6,40,14,18,3
Newton,2020,7,29,13,14,4
Newton,2020,8,28,13,15,6
Newton,2020,9,31,11,14,2
Newton,2020,10,31,15,18,3
Newton,2020,11,23,11,13,3
Newton,2020,12,27,10,16,5
Newton,2021,1,28,10,13,2
Newton,2021,2,26,10,13,2
Newton,2021,3,26,14,14,2
Newton,2021,4,27,9,12,4
Newton,2021,5,28,11,14,3
Newton,2021,6,33,16,23,2
Newton,2021,7,38,14,20,4
Newton,2021,8,39,17,20,5
Newton,2021,9,40,16,21,5
Newton,2021,10,28,13,15,3
Newton,2021,11,28,11,12,0
Newton,2021,12,33,14,16,1
Newton,2022,1,22,8,9,2
Newton,2022,2,57,20,24,8
Newton,2022,3,32,15,16,3
Newton,2022,4,37,8,12,2
Newton,2022,5,47,18,20,6
Newton,2022,6,47,16,21,1
Newton,2022,7,31,14,16,1
Newton,2022,8,37,16,18,0
Newton,2022,9,41,18,24,2
Newton,2022,10,37,16,16,2
Newton,2022,11,41,18,21,3
Newton,2022,12,33,8,15,1
Newton,2023,1,36,19,24,2
Newton,2023,2,34,13,17,2
Newton,2023,3,28,11,17,2
Newton,2023,4,33,11,19,4
Newton,2023,5,41,22,25,4
Newton,2023,6,39,21,26,4
Newton,2023,7,41,15,21,4
Newton,2023,8,41,16,23,8
Newton,2023,9,36,11,16,1
Newton,2023,10,40,18,26,2
Newton,2023,11,32,10,14,4
Newton,2023,12,39,14,19,4
Newton,2024,1,34,13,18,4
Newton,2024,2,35,15,22,6
Newton,2024,3,16,3,6,0
Newton,2024,4,19,5,9,1
Newton,2024,5,12,0,0,0
Newton,2024,6,10,3,3,1
Newton,2024,7,7,1,2,1
Newton,2024,8,9,1,1,0
Newton,2024,9,12,1,1,0
Newton,2024,10,10,0,1,1
Newton,2024,11,10,3,3,0
Newton,2024,12,5,0,0,0
Northeast,2020,1,29,8,14,3
Northeast,2020,2,21,4,10,2
Northeast,2020,3,24,8,13,3
Northeast,2020,4,27,9,10,5
Northeast,2020,5,30,12,12,1
Northeast,2020,6,35,5,9,1
Northeast,2020,7,27,9,12,5
Northeast,2020,8,19,1,1,1
Northeast,2020,9,30,11,15,4
Northeast,2020,10,25,7,11,2
Northeast,2020,11,23,6,6,3
Northeast,2020,12,29,8,9,2
Northeast,2021,1,31,6,11,2
Northeast,2021,2,26,1,2,1
Northeast,2021,3,31,4,7,2
Northeast,2021,4,10,1,1,0
Northeast,2021,5,33,13,15,5
Northeast,2021,6,17,6,7,3
Northeast,2021,7,26,6,10,1
Northeast,2021,8,28,9,11,4
Northeast,2021,9,25,10,11,4
Northeast,2021,10,26,6,8,2
Northeast,2021,11,26,9,10,2
Northeast,2021,12,34,6,8,3
Northeast,2022,1,31,5,8,5
Northeast,2022,2,21,4,6,2
Northeast,2022,3,21,7,7,3
Northeast,2022,4,38,7,10,2
Northeast,2022,5,35,10,10,4
Northeast,2022,6,34,9,11,3
Northeast,2022,7,36,11,11,5
Northeast,2022,8,27,5,6,1
Northeast,2022,9,33,10,12,3
Northeast,2022,10,37,14,16,3
